TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	18/06/04
TIME	12:16:31
SPECTROMETER/DATA SYSTEM	
LOCALE	1031
RESOLUTION	
DELTAX	-0.025
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	  650.0000
LASTX	  500.0000
NPOINTS	    6001
FIRSTY	     1.53992
MAXY	     1.55413
MINY	     1.26864
XYDATA
646.9750	1.53412
646.9500	1.53316
646.9250	1.53256
646.9000	1.5304
646.8750	1.53127
646.8500	1.5312
646.8250	1.53386
646.8000	1.53451
646.7750	1.53165
646.7500	1.5323
646.7250	1.53358
646.7000	1.53246
646.6750	1.5366
646.6500	1.53367
646.6250	1.53534
646.6000	1.53728
646.5750	1.54157
646.5500	1.53824
646.5250	1.5362
646.5000	1.53839
646.4750	1.53848
646.4500	1.53777
646.4250	1.53396
646.4000	1.53424
646.3750	1.53436
646.3500	1.53277
646.3250	1.53246
646.3000	1.53311
646.2750	1.53351
646.2500	1.53504
646.2250	1.53681
646.2000	1.54223
646.1750	1.53862
646.1500	1.54078
646.1250	1.54013
646.1000	1.54055
646.0750	1.54078
646.0500	1.54136
646.0250	1.54504
646.0000	1.54486
645.9750	1.54336
645.9500	1.5457
645.9250	1.54469
645.9000	1.54124
645.8750	1.5399
645.8500	1.53792
645.8250	1.53751
645.8000	1.53784
645.7750	1.53858
645.7500	1.54183
645.7250	1.54279
645.7000	1.54203
645.6750	1.54023
645.6500	1.5427
645.6250	1.5442
645.6000	1.53861
645.5750	1.53632
645.5500	1.53732
645.5250	1.54125
645.5000	1.54018
645.4750	1.53981
645.4500	1.54367
645.4250	1.54378
645.4000	1.54517
645.3750	1.54331
645.3500	1.54568
645.3250	1.54377
645.3000	1.5422
645.2750	1.54363
645.2500	1.54159
645.2250	1.54199
645.2000	1.54297
645.1750	1.54418
645.1500	1.54492
645.1250	1.54256
645.1000	1.54102
645.0750	1.54224
645.0500	1.54414
645.0250	1.54026
645.0000	1.54154
644.9750	1.54248
644.9500	1.54178
644.9250	1.54477
644.9000	1.54219
644.8750	1.54283
644.8500	1.54111
644.8250	1.53901
644.8000	1.53957
644.7750	1.53542
644.7500	1.53985
644.7250	1.54003
644.7000	1.54164
644.6750	1.54229
644.6500	1.54275
644.6250	1.54425
644.6000	1.5438
644.5750	1.54299
644.5500	1.54328
644.5250	1.54222
644.5000	1.54252
644.4750	1.54528
644.4500	1.54383
644.4250	1.54132
644.4000	1.54134
644.3750	1.53956
644.3500	1.53792
644.3250	1.53725
644.3000	1.53907
644.2750	1.53973
644.2500	1.54219
644.2250	1.54286
644.2000	1.54789
644.1750	1.55145
644.1500	1.55153
644.1250	1.55315
644.1000	1.5509
644.0750	1.55035
644.0500	1.54905
644.0250	1.54499
644.0000	1.54515
643.9750	1.54174
643.9500	1.54012
643.9250	1.54364
643.9000	1.54423
643.8750	1.54747
643.8500	1.54935
643.8250	1.55194
643.8000	1.55375
643.7750	1.55413
643.7500	1.54888
643.7250	1.54394
643.7000	1.54089
643.6750	1.54051
643.6500	1.53951
643.6250	1.54197
643.6000	1.5409
643.5750	1.54425
643.5500	1.54266
643.5250	1.54441
643.5000	1.54655
643.4750	1.54421
643.4500	1.54286
643.4250	1.54127
643.4000	1.5432
643.3750	1.54378
643.3500	1.54134
643.3250	1.53899
643.3000	1.54155
643.2750	1.54147
643.2500	1.54426
643.2250	1.5487
643.2000	1.55023
643.1750	1.55104
643.1500	1.55187
643.1250	1.55136
643.1000	1.55121
643.0750	1.54915
643.0500	1.54615
643.0250	1.54607
643.0000	1.54352
642.9750	1.54339
642.9500	1.54546
642.9250	1.54299
642.9000	1.54115
642.8750	1.54573
642.8500	1.54573
642.8250	1.5482
642.8000	1.54747
642.7750	1.5471
642.7500	1.54844
642.7250	1.55033
642.7000	1.54949
642.6750	1.54686
642.6500	1.54331
642.6250	1.54336
642.6000	1.54498
642.5750	1.54704
642.5500	1.54338
642.5250	1.54115
642.5000	1.54572
642.4750	1.54712
642.4500	1.54543
642.4250	1.54448
642.4000	1.54492
642.3750	1.54257
642.3500	1.54154
642.3250	1.54002
642.3000	1.53878
642.2750	1.5386
642.2500	1.54122
642.2250	1.54324
642.2000	1.54348
642.1750	1.54676
642.1500	1.54436
642.1250	1.54008
642.1000	1.53944
642.0750	1.53852
642.0500	1.53755
642.0250	1.53583
642.0000	1.53569
641.9750	1.5422
641.9500	1.54295
641.9250	1.54465
641.9000	1.5437
641.8750	1.54308
641.8500	1.54317
641.8250	1.53953
641.8000	1.53673
641.7750	1.53799
641.7500	1.53698
641.7250	1.53672
641.7000	1.53772
641.6750	1.54004
641.6500	1.54343
641.6250	1.54083
641.6000	1.54238
641.5750	1.54105
641.5500	1.54123
641.5250	1.54447
641.5000	1.5427
641.4750	1.54229
641.4500	1.54295
641.4250	1.54598
641.4000	1.54563
641.3750	1.54186
641.3500	1.53961
641.3250	1.53834
641.3000	1.54088
641.2750	1.53898
641.2500	1.54166
641.2250	1.53985
641.2000	1.54391
641.1750	1.54365
641.1500	1.54431
641.1250	1.5418
641.1000	1.54093
641.0750	1.54099
641.0500	1.54166
641.0250	1.54069
641.0000	1.53907
640.9750	1.54395
640.9500	1.54348
640.9250	1.54162
640.9000	1.54173
640.8750	1.54293
640.8500	1.54118
640.8250	1.53946
640.8000	1.53877
640.7750	1.54172
640.7500	1.54349
640.7250	1.54147
640.7000	1.54194
640.6750	1.54163
640.6500	1.54271
640.6250	1.54255
640.6000	1.54282
640.5750	1.54404
640.5500	1.54106
640.5250	1.54448
640.5000	1.54432
640.4750	1.54395
640.4500	1.54213
640.4250	1.53938
640.4000	1.54177
640.3750	1.54123
640.3500	1.53908
640.3250	1.53691
640.3000	1.53362
640.2750	1.53526
640.2500	1.53217
640.2250	1.52996
640.2000	1.53257
640.1750	1.53116
640.1500	1.5358
640.1250	1.53778
640.1000	1.53904
640.0750	1.54322
640.0500	1.54165
640.0250	1.53953
640.0000	1.53941
639.9750	1.53834
639.9500	1.5375
639.9250	1.53676
639.9000	1.53971
639.8750	1.53766
639.8500	1.53983
639.8250	1.53908
639.8000	1.53821
639.7750	1.53622
639.7500	1.53671
639.7250	1.53571
639.7000	1.53376
639.6750	1.53227
639.6500	1.53273
639.6250	1.53416
639.6000	1.53497
639.5750	1.53389
639.5500	1.53607
639.5250	1.5372
639.5000	1.53904
639.4750	1.53889
639.4500	1.53639
639.4250	1.53818
639.4000	1.53739
639.3750	1.53738
639.3500	1.53991
639.3250	1.53595
639.3000	1.53562
639.2750	1.53688
639.2500	1.53695
639.2250	1.53682
639.2000	1.53228
639.1750	1.53207
639.1500	1.53102
639.1250	1.5335
639.1000	1.53508
639.0750	1.53597
639.0500	1.53861
639.0250	1.54045
639.0000	1.54303
638.9750	1.54452
638.9500	1.54261
638.9250	1.54447
638.9000	1.54306
638.8750	1.54348
638.8500	1.53876
638.8250	1.53706
638.8000	1.53532
638.7750	1.53791
638.7500	1.5353
638.7250	1.53441
638.7000	1.53616
638.6750	1.53691
638.6500	1.53739
638.6250	1.53722
638.6000	1.53591
638.5750	1.53809
638.5500	1.5369
638.5250	1.53761
638.5000	1.53694
638.4750	1.53723
638.4500	1.53874
638.4250	1.53638
638.4000	1.53548
638.3750	1.53344
638.3500	1.52981
638.3250	1.53238
638.3000	1.53026
638.2750	1.53157
638.2500	1.53095
638.2250	1.52902
638.2000	1.53085
638.1750	1.52971
638.1500	1.52753
638.1250	1.53047
638.1000	1.53043
638.0750	1.52932
638.0500	1.52959
638.0250	1.53231
638.0000	1.53086
637.9750	1.53266
637.9500	1.53091
637.9250	1.53195
637.9000	1.53215
637.8750	1.53114
637.8500	1.52973
637.8250	1.52632
637.8000	1.52751
637.7750	1.5262
637.7500	1.52588
637.7250	1.52426
637.7000	1.52916
637.6750	1.53037
637.6500	1.53048
637.6250	1.52755
637.6000	1.52749
637.5750	1.52702
637.5500	1.52703
637.5250	1.52231
637.5000	1.52088
637.4750	1.52155
637.4500	1.52171
637.4250	1.52293
637.4000	1.52176
637.3750	1.5215
637.3500	1.52248
637.3250	1.52271
637.3000	1.52404
637.2750	1.5234
637.2500	1.52572
637.2250	1.52908
637.2000	1.52949
637.1750	1.52951
637.1500	1.53065
637.1250	1.53218
637.1000	1.52907
637.0750	1.52615
637.0500	1.52789
637.0250	1.52944
637.0000	1.5297
636.9750	1.52852
636.9500	1.52718
636.9250	1.52843
636.9000	1.52429
636.8750	1.52382
636.8500	1.5251
636.8250	1.52399
636.8000	1.52363
636.7750	1.52819
636.7500	1.52874
636.7250	1.52784
636.7000	1.52696
636.6750	1.52221
636.6500	1.52244
636.6250	1.52324
636.6000	1.52091
636.5750	1.51889
636.5500	1.52002
636.5250	1.52185
636.5000	1.52192
636.4750	1.52327
636.4500	1.52099
636.4250	1.52092
636.4000	1.5237
636.3750	1.52537
636.3500	1.52188
636.3250	1.52159
636.3000	1.52276
636.2750	1.52319
636.2500	1.52381
636.2250	1.52199
636.2000	1.52091
636.1750	1.52238
636.1500	1.52557
636.1250	1.52739
636.1000	1.52893
636.0750	1.53027
636.0500	1.53343
636.0250	1.53596
636.0000	1.53453
635.9750	1.53381
635.9500	1.53232
635.9250	1.52981
635.9000	1.5305
635.8750	1.52797
